Person,Surname,Given,Call,Suffix,Prefix,Title,Gender,Birth date,Birth place,Birth source,Baptism date,Baptism place,Baptism source,Death date,Death place,Death source,Burial date,Burial place,Burial source,Note
[I2577],,Charles of_Aquitaine,,,,,male,,,,,,,866,,,,,,
[I1120],,Charles of_Belgium,,,,,male,1903,,,,,,1983,,,,,,
[I2636],,Charles of_Bourbon -Sicily,,,,,male,1870,,,,,,1949,,,,,,
[I1363],,Charles of_Brunswick- Wolfenbuttel,,,,,male,,,,,,,,,,,,,
[I0708],,Charles of_Cambridge,,,,,male,1660-10-22,[P0265],,,,,1661-05-05,[P0266],,,,,
[I0357],,Charles of_Hesse,,,,,male,1809,,,,,,1877,,,,,,
[I1641],,Charles of_Hesse-Cassel,,,,,male,1744,,,,,,1836,,,,,,
[I0564],,Charles of_Mecklenburg- Strelitz,,,,,male,,,,,,,,,,,,,
[I1260],,Charles of_Orleans,,,,,male,1391,,,,,,1465,,,,,,
[I0953],,Charles of_Southesk,,,,,male,1893,,,,,,,,,,,,
[I0597],,Charles of_Sweden,,,,,male,1861,,,,,,1951,,,,,,
[I2524],,Charles of_Valois,,,,,male,,,,,,,,,,,,,
[I1022],,Charles the_Bold,,,,,male,,,,,,,,,,,,,
[I1811],,Charles the_Simple,,,,,male,,,,,,,,,,,,,
[I2488],,Charles_I,,,,,male,1288,,,,,,1342,,,,,,
[I2130],,Charles_II,,,,,male,1661,,,,,,1700,,,,,,
[I2267],,Charles_II,,,,,male,,,,,,,,,,,,,
[I2489],,Charles_II,,,,,male,,,,,,,,,,,,,
[I2564],,Charles_II the_Bald,,,,,male,823,,,,,,877-10-06,[P0623],,,,,
[I2880],,Charles_III,,,,,male,1716,,,,,,1788,,,,,,
[I2574],,Charles_III the_Fat,,,,,male,839,,,,,,887,,,,,,
[I2584],,Charles_III the_Simple,,,,,male,879,,,,,,929,,,,,,
[I2291],,Charles_IV,,,,,male,1316,,,,,,1378,,,,,,
[I2878],,Charles_IV,,,,,male,1748,,,,,,1819,,,,,,
[I1743],,Charles_IV the_Fair,,,,,male,about 1294,,,,,,1328-02-01,[P0595],,,[P0220],,
[I2522],,Charles_IX,,,,,male,1550-06-27,[P0263],,,,,1574-05-30,[P0595],,,[P0220],,
[I0871],,Charles_V,,,,,male,1500,,,,,,1558,,,,,,
[I2499],,Charles_V the_Wise,,,,,male,1337-01-21,[P0595],,,,,1380-09-16,[P0595],,,[P0220],,
[I2431],,Charles_VI,,,,,male,1685,[P0549],,,,,1740,,,,,,
[I2075],,Charles_VI the_Beloved,,,,,male,1368-12-03,[P0112],,,,,1422-10-22,[P0112],,,[P0220],,
[I2537],,Charles_VII,,,,,male,1403-02-22,[P0112],,,,,1461-07-21,[P0620],,1461-08-09,[P0220],,
[I2543],,Charles_VIII,,,,,male,1490-06-30,,,,,,1498-04-07,[P0622],,,[P0220],,
[I0897],,Charles_X,,,,,male,1757,,,,,,1836-11-00,,,,,,
[I2859],,Charles_XI,,,,,male,1655,,,,,,1697,,,,,,
[I1615],,Charles_XIV John,,,,,male,1763-01-26,[P0569],,,,,1844-03-08,[P0094],,,[P0094],,
[I1027],,Charles_XV,,,,,male,1826-05-03,[P0094],,,,,1872-08-19,[P0381],,,[P0094],,
[I1727],,Charlot,,,,,female,1659,,,,,,1696,,,,,,
[I0634],,Charlotte,,,,,female,,,,,,,,,,,,,
[I1647],,Charlotte,,,,,female,1784-12-04,[P0584],,,,,1840-07-13,[P0210],,,,,
[I1681],,Charlotte,,,,,female,1800,,,,,,1806,,,,,,
[I2119],,Charlotte,,,,,female,,,,,,,1631,,,,,,
[I1163],,Charlotte Albertine,,,,,female,1713,,,,,,1714,,,,,,
[I0619],,Charlotte Amalia,,,,,female,1710,,,,,,1777,,,,,,
[I1626],,Charlotte Amelia,,,,,female,1650-04-27,[P0148],,,,,1714-03-27,[P0242],,,,,
[I0584],,Charlotte of_Luxembourg,,,,,female,,,,,,,,,,,,,
[I0043],,Charlotte of_Prussia,,,,,female,1798,,,,,,1860,,,,,,
[I2542],,Charlotte of_Savoy,,,,,female,about 1445,,,,,,1483,,,,,,
[I1084],,Charlotte of_Saxe- Hildburghausen,,,,,female,1787,,,,,,1847,,,,,,
[I0077],,Charlotte of_Saxe- Meiningen,,,,,female,1860,,,,,,1919,,,,,,
[I1095],,Charlotte of_Schaumburg- Lippe,,,,,female,1864,,,,,,1946,,,,,,
[I0082],,Child_#3,,,,,male,,,,,,,,,,,,,
[I0236],,Child_2,,,,,male,,,,,,,,,,,,,
[I0237],,Child_3,,,,,male,,,,,,,,,,,,,
[I0231],,Child_5,,,,,male,,,,,,,,,,,,,
[I0230],,Child_6,,,,,male,1913,,,,,,,,,,,,
[I1637],,Christian,,,,,male,1745,,,,,,1747,,,,,,
[I1642],,Christian,,,,,male,1791,,,,,,1791,,,,,,
[I1658],,Christian,,,,,male,1797,,,,,,1797,,,,,,
[I1676],,Christian,,,,,male,1942,,,,,,,,,,,,
[I2126],,Christian,,,,,male,,,,,,,1703,,,,,,
[I2743],,Christian,,,,,male,1949,,,,,,,,,,,,
[I2691],,Christian Augustus,,,,,male,1690,,,,,,1747,,,,,,
[I0925],,Christian Sigismund of_Prussia,,,,,male,1946,,,,,,,,,,,,
[I0310],,Christian Victor,,,,,male,1867,,,,,,1900,,,,,,
[I1827],,Christian_I,,,,,male,1426,,,,,,1481,,,,,,
[I1632],,Christian_III,,,,,male,1503-08-12,[P0145],,,,,1559-01-01,[P0580],,,,,
[I1627],,Christian_IV,,,,,male,1577-04-12,[P0576],,,,,1648-02-28,[P0150],,,,,
[I0225],,Christian_IX,,,,,male,1818-04-08,[P0145],,,,,1906-01-29,[P0146],,,[P0147],,
[I1625],,Christian_V,,,,,male,1646-04-15,[P0575],,,,,1699-08-25,,,,,,
[I1620],,Christian_VI,,,,,male,1699-12-10,[P0150],,,,,1746-08-06,[P0150],,,,,
[I0764],,Christian_VII,,,,,male,1749-01-29,[P0150],,,,,1808-03-13,[P0307],,,,,
[I1645],,Christian_VIII,,,,,male,1786-09-18,[P0193],,,,,1848-01-20,[P0146],,,,,
[I0606],,Christian_X,,,,,male,1870-09-26,[P0240],,,,,1947-04-20,[P0146],,,[P0147],,
[I1766],,Christina,,,,,female,,,,,,,,,,,,,
[I2804],,Christina,,,,,female,1951,,,,,,,,,,,,
[I2864],,Christina,,,,,female,1461,,,,,,1521,,,,,,
[I2723],,Christina Louise,,,,,female,1966-09-29,,,,,,,,,,,,
[I2529],,Christina Louise Helen,,,,,female,1943-08-03,,,,,,,,,,,,
[I0887],,Christina of_Hesse,,,,,female,,,,,,,,,,,,,
[I0443],,Christine,,,,,female,1965,,,,,,,,,,,,
[I0557],,Christine,,,,,female,1772,,,,,,1773,,,,,,
[I1629],,Christine of_Schleswig- Holstein,,,,,female,1598-07-06,,,,,,1658-04-19,[P0577],,,,,
[I0481],,Christopher of_Hesse,,,,,male,1901,,,,,,1944,,,,,,
[I2863],,Christopher_III,,,,,male,1416,,,,,,1448,,,,,,
[I1000],,Cicely,,,,,female,1469-03-20,,,,,,1507-08-24,[P0371],,,,,
[I2813],,Claes,,,,,male,1942,,,,,,,,,,,,
[I1815],,Claude,,,,,male,,,,,,,,,,,,,
[I2440],,Claude of_France,,,,,female,1499,,,,,,1524,,,,,,
[I0304],,Claudine,,,,,female,1814,,,,,,1841,,,,,,
[I0305],,Claudine,,,,,female,1836,,,,,,1894,,,,,,
[I2487],,Clemence of_Hungary,,,,,female,about 1293,,,,,,1328,,,,,,
[I2903],,Clementine,,,,,female,1872,,,,,,1955,,,,,,
[I2508],,Clotilde of_Savoy,,,,,female,,,,,,,1805,,,,,,
[I2257],,Colin,,,,,male,,,,,,,,,,,,,
[I1874],,Conan of_Brittany,,,,,male,,,,,,,,,,,,,
[I2204],,Conor Na_Suidane,,,,,male,,,,,,,,,,,,,
[I1390],,Constance,,,,,female,about 1066,[P0518],,,,,1090-08-13,[P0523],,,,,
[I2294],,Constance,,,,,female,,,,,,,,,,,,,
[I2459],,Constance of_Arles,,,,,female,,,,,,,1032,,,,,,
[I1506],,Constance of_Brittany,,,,,female,,,,,,,1201,,,,,,
[I2475],,Constance of_Castile,,,,,female,,,,,,,1160,,,,,,
[I1524],,Constance of_Toulouse,,,,,female,,,,,,,,,,,,,
[I2474],,Constance of_Toulouse,,,,,female,,,,,,,,,,,,,
[I1210],,Constantine,,,,,male,1969,,,,,,,,,,,,
[I0353],,Constantine Nikolaievitch of_Russia,,,,,male,1827,,,,,,1892,,,,,,
[I2252],,Constantine_II,,,,,male,,,,,,,,,,,,,
[I2259],,Constantine_III,,,,,male,,,,,,,,,,,,,
[I2256],,Constantine_IV,,,,,male,,,,,,,,,,,,,
[I1416],,Constanza (Constance),,,,,female,,,,,,,1394-03-24,[P0543],,,,,
[I0930],,Corneilie-Cecile,,,,,female,1978,,,,,,,,,,,,
[I2242],,Crinan,,,,,male,,,,,,,,,,,,,
[I1994],,Cutha,,,,,male,,,,,,,584,,,,,,
[I2052],,Cuthburh,,,,,female,,,,,,,,,,,,,
[I2028],,Cuthgils,,,,,male,,,,,,,,,,,,,
[I2033],,Cuthred,,,,,unknown,,,,,,,,,,,,,
[I2037],,Cuthwine,,,,,male,,,,,,,,,,,,,
[I2040],,Cuthwulf (Cutha),,,,,male,,,,,,,,,,,,,
[I2051],,Cwenburh of_Wimborne,,,,,female,,,,,,,,,,,,,
[I2029],,Cwichelm,,,,,male,,,,,,,636,,,,,,
[I1947],,Cynan,,,,,male,,,,,,,,,,,,,
[I1950],,Cynan,,,,,male,,,,,,,,,,,,,
[I2039],,Cynebald,,,,,male,,,,,,,,,,,,,
[I2032],,Cyneburh,,,,,female,,,,,,,,,,,,,
[I2024],,Cynegils,,,,,male,,,,,,,,,,,,,
[I1932],,Cynfyn of_Powys,,,,,male,,,,,,,,,,,,,
[I1992],,Cynric,,,,,male,,,,,,,560,,,,,,
[I0673],,Cyula Apponyi_de Nagy-Appony,,,,,male,,,,,,,,,,,,,
[I1955],,Dafydd,,,,,male,,,,,,,,,,,,,
[I1958],,Dafydd,,,,,male,,,,,,,,,,,,,
[I1667],,Dagmar,,,,,female,1890,,,,,,1961,,,,,,
[I2780],,Dagmar,,,,,female,1916,,,,,,,,,,,,
[I0041],,"Dagmar ""Marie"" of_Denmark",,,,,female,1847,,,,,,1928-10-00,[P0051],,,,,
[I0269],,Dau._1,,,,,female,,,,,,,,,,,,,
[I0276],,Dau._1,,,,,female,,,,,,,,,,,,,
[I0526],,Dau._1,,,,,female,,,,,,,,,,,,,
[I0538],,Dau._1,,,,,female,,,,,,,,,,,,,
[I0544],,Dau._1,,,,,female,,,,,,,,,,,,,
[I0270],,Dau._2,,,,,female,,,,,,,,,,,,,
[I0277],,Dau._2,,,,,female,,,,,,,,,,,,,
[I0527],,Dau._2,,,,,female,,,,,,,,,,,,,
[I0534],,Dau._2,,,,,female,,,,,,,,,,,,,
[I0539],,Dau._2,,,,,female,,,,,,,,,,,,,
[I0545],,Dau._2,,,,,female,,,,,,,,,,,,,
[I0535],,Dau._3,,,,,female,,,,,,,,,,,,,
[I0694],,Daughter,,,,,female,1684-05-12,,,,,,1684-05-12,,,,,,
[I0701],,Daughter,,,,,female,1693-03-23,[P0262],,,,,1693-03-23,[P0262],,,,,
[I0702],,Daughter,,,,,female,1696-02-18,,,,,,1696-02-18,,,,,,
[I0705],,Daughter,,,,,female,1700-01-25,,,,,,1700-01-25,,,,,,
[I0927],,Daughter,,,,,female,,,,,,,,,,,,,
[I1800],,Daughter,,,,,female,,,,,,,,,,,,,
[I0511],,Daughter Stillborn,,,,,female,,,,,,,,,,,,,
[I1440],,Daughter_1,,,,,female,,,,,,,,,,,,,
[I1441],,Daughter_2,,,,,female,,,,,,,,,,,,,
[I1837],,David of_Huntingdon,,,,,male,,,,,,,1219,,,,,,
[I1462],,David of_Rothesay,,,,,male,,,,,,,,,,,,,
[I1515],,David_I the_Saint,,,,,male,about 1080,,,,,,1153,,,,,,
[I2213],,Dearbforgail,,,,,female,,,,,,,1080,,,,,,
[I1733],,Delia Peel,,,,,female,1889,,,,,,1981,,,,,,
[I2209],,Dermot,,,,,male,,,,,,,,,,,,,
[I2512],,Desideria,,,,,female,,,,,,,,,,,,,
[I1616],,Desiree,,,,,female,1777-11-09,[P0570],,,,,1860-12-17,[P0094],,,[P0094],,
[I2719],,Desiree Margaretha Victoria,,,,,female,1963-11-27,,,,,,,,,,,,
[I2528],,Desiree of_Sweden,,,,,female,1938-06-02,,,,,,,,,,,,
[I1844],,Devorguilla,,,,,female,,,,,,,1290,,,,,,
[I1565],,Dimitri,,,,,male,1901,,,,,,,,,,,,
[I0431],,Don Jamie,,,,,male,,,,,,,,,,,,,
[I0432],,Don Juan of_Spain,,,,,male,1913-06-00,[P0200],,,,,,,,,,,
[I2136],,Don_Carlos,,,,,male,,,,,,,,,,,,,
[I0878],,Dona_Maria da_Gloria,,,,,female,,,,,,,,,,,,,
[I0592],,Dona_Maria of_Bourbon,,,,,female,1937,,,,,,,,,,,,
[I1818],,Donald,,,,,male,,,,,,,,,,,,,
[I2266],,Donald_I,,,,,male,,,,,,,,,,,,,
[I2251],,Donald_II,,,,,male,,,,,,,,,,,,,
[I2241],,Donald_III Bane,,,,,male,,,,,,,,,,,,,
[I0928],,Donata of_Castell- Rudenhausen,,,,,female,,,,,,,,,,,,,
[I2223],,Donchad,,,,,male,,,,,,,1126,,,,,,
[I2206],,Donnell More,,,,,male,,,,,,,1194,,,,,,
[I2205],,Donough Cairbreach,,,,,male,,,,,,,,,,,,,
[I1633],,Dorothea,,,,,female,1511-07-09,,,,,,1571-10-07,[P0581],,,,,
[I1828],,Dorothea,,,,,female,1430,,,,,,1495,,,,,,
[I2690],,Dorothea of_Brandenburg -Schwedt,,,,,female,1736,,,,,,1798,,,,,,
[I2253],,Duff,,,,,male,,,,,,,,,,,,,
[I2239],,Duncan_I,,,,,male,,,,,,,,,,,,,
[I2237],,Duncan_II May-Nov,,,,,male,,,,,,,,,,,,,
[I2055],,Eaba,,,,,male,,,,,,,,,,,,,
[I2585],,Eadgifu of_England,,,,,female,902,,,,,,,,,,,,
[I1809],,Eadgyth (Edith),,,,,female,,,,,,,,,,,,,
[I1544],,Ealdgyth,,,,,female,,,,,,,,,,,,,
[I2054],,Ealhmund of_Kent,,,,,male,,,,,,,786,,,,,,
[I1965],,Ealhswith,,,,,female,,,,,,,905,,,,,,
[I2799],,Ebba,,,,,female,1945,,,,,,,,,,,,
[I1798],,Ecgwyn,,,,,female,,,,,,,,,,,,,
[I1795],,Edburh,,,,,female,,,,,,,,,,,,,
[I2640],,Edelmira,,,,,female,1906,,,,,,,,,,,,
[I1513],,Edgar,,,,,male,about 1074,,,,,,1107,,,,,,
[I1758],,Edgar,,,,,male,,,,,,,,,,,,,
[I0712],,Edgar of_Cambridge,,,,,male,1667-09-14,[P0125],,,,,1669-11-15,[P0268],,,,,
[I1779],,Edgar the_Peaceful,,,,,male,944,,,,,,975,,,,[P0597],,
[I1793],,Edgiva,,,,,female,,,,,,,,,,,,,
[I1796],,Edgiva,,,,,female,,,,,,,,,,,,,
[I1806],,Edgiva,,,,,female,,,,,,,,,,,,,
[I1808],,Edhilda,,,,,female,,,,,,,,,,,,,
[I1759],,Edith,,,,,female,,,,,,,,,,,,,
[I1535],,Edith (Eadgyth),,,,,female,,,,,,,1075-12-18,,,,[P0174],,
[I1539],,Edith Swan-neck (Ealdgyth),,,,,female,,,,,,,,,,,,,
[I1189],,Editha,,,,,female,1924,,,,,,,,,,,,
[I0992],,Edmund,,,,,male,,,,,,,1460,,,,,,
[I1764],,Edmund,,,,,male,,,,,,,,,,,,,
[I1784],,Edmund,,,,,male,,,,,,,970,,,,,,
[I1887],,Edmund,,,,,male,,,,,,,1300,,,,,,
[I2279],,Edmund,,,,,male,,,,,,,,,,,,,
[I1285],,Edmund Crouchback of_Leicester,,,,,male,1245-01-16,[P0028],,,,,1296-06-05,[P0433],,,,,
[I1237],,Edmund of_Langley,,,,,male,1341-06-05,[P0439],,,,,1402-08-01,[P0439],,,,,
[I2070],,Edmund of_Stafford,,,,,male,,,,,,,,,,,,,
[I1279],,Edmund of_Woodstock,,,,,male,1301-08-05,[P0431],,,,,1330-03-19,[P0468],,,,,
[I1786],,Edmund_I the_Elder,,,,,male,939,,,,,,946,,,,[P0597],,
[I1543],,Edmund_II Ironside,,,,,male,,,,,,,1016,,,,,,
[I2178],,Ednyfed Fychan,,,,,male,,,,,,,,,,,,,
[I1755],,Edred,,,,,unknown,,,,,,,,,,,,,
[I1794],,Edred,,,,,male,,,,,,,,,,,,,
[I0768],,Edward,,,,,male,,,,,,,,,,,,,
[I0986],,Edward,,,,,male,about 1473-12-00,[P0367],,,,,1484-04-09,[P0367],,,,,
[I1016],,Edward,,,,,male,1453-10-13,[P0379],,,,,1471-05-04,[P0380],,,,,
[I1018],,Edward,,,,,male,,,,,,,1499,,,,,,
[I1231],,Edward,,,,,male,1330-06-15,[P0429],,,,,1376-06-08,[P0314],,,[P0430],,
[I1338],,Edward,,,,,male,,,,,,,1415,[P0482],,,,,
[I1411],,Edward,,,,,male,1365-01-27,[P0490],,,,,1372,[P0538],,,,,
[I1744],,Edward,,,,,male,,,,,,,,,,,,,
[I1757],,Edward,,,,,male,,,,,,,,,,,,,
[I2278],,Edward,,,,,male,,,,,,,,,,,,,
[I2869],,Edward,,,,,male,,,,,,,1318,,,,,,
[I1534],,Edward the_Confessor,,,,,male,about 1002,[P0554],,,,,1066-01-05,,,1066-01-06,[P0174],,
[I1792],,Edward the_Elder,,,,,male,,,,,,,924,,,,[P0468],,
[I1782],,Edward the_Martyr,,,,,male,,,,,,,,,,,,,
[I1261],,Edward_I (Longshanks),,,,,male,1239-06-17,[P0314],,,,,1307-07-07,[P0452],,,[P0174],,
[I0286],,Edward_II,,,,,male,1284-04-25,[P0164],,,,,1327-09-21,[P0165],,,[P0166],,
[I1229],,Edward_III,,,,,male,1312-11-13,[P0004],,,,,1377-06-21,[P0427],,,[P0174],,
[I0991],,Edward_IV,,,,,male,1442-04-28,[P0368],,,,,1483-04-09,[P0314],,,[P0141],,
[I1001],,Edward_V,,,,,male,1470-11-04,[P0372],,,,,1483,,,,,,
[I1804],,Edwin,,,,,male,,,,,,,,,,,,,
[I1756],,Edwy,,,,,unknown,,,,,,,1017,,,,,,
[I1788],,Edwy,,,,,male,,,,,,,,,,,,,
[I1754],,Egbert,,,,,male,,,,,,,1005,,,,,,
[I1973],,Egbert,,,,,male,,,,,,,839,,,,,,
[I0483],,Eight_children,,,,,male,,,,,,,,,,,,,
[I0908],,Eilika of_Oldenberg,,,,,female,,,,,,,,,,,,,
[I2185],,Einion,,,,,male,,,,,,,984,,,,,,
[I0421],,Eitel Frederick,,,,,male,1883,,,,,,1942/1943,,,,,,
[I1257],,Eleanor,,,,,female,1318-06-18,[P0431],,,,,1355-04-22,[P0450],,,,,
[I1263],,Eleanor,,,,,female,1264-06-17,[P0004],,,,,1297-10-12,[P0437],,,,,
[I1280],,Eleanor,,,,,female,1306-05-04,[P0468],,,,,1311,[P0463],,,,,
[I1370],,Eleanor,,,,,female,1215,[P0497],,,,,1275-04-13,[P0499],,,,,
[I1378],,Eleanor,,,,,female,1162-10-13,[P0509],,,,,1214-10-31,[P0510],,,,,
[I1873],,Eleanor,,,,,female,,,,,,,1241,,,,,,
[I2167],,Eleanor,,,,,female,,,,,,,,,,,,,
[I2894],,Eleanor,,,,,female,1498,,,,,,1558,,,,,,
[I1598],,Eleanor de_Cobham,,,,,female,,,,,,,1452-07-07,[P0562],,,,,
[I1372],,Eleanor of_Aquitaine,,,,,female,about 1122,[P0502],,,,,1204-04-01,[P0491],,,[P0491],,
[I1262],,Eleanor of_Castile,,,,,female,about 1244,[P0453],,,,,1290-11-24,[P0454],,,[P0174],,
[I2422],,Eleanor of_Neuburg,,,,,female,,,,,,,,,,,,,
[I1282],,Eleanor of_Provence,,,,,female,about 1217,[P0470],,,,,1291-06-24,[P0471],,,[P0472],,
[I2906],,Elemer,,,,,male,1863,,,,,,1946,,,,,,
[I0460],,Eleonore of_Solms- Hohensolms-Lich,,,,,female,1871,,,,,,1937,,,,,,
[I1995],,Elesa,,,,,male,,,,,,,,,,,,,
[I1549],,Elfgiva of_Northampton,,,,,female,,,,,,,,,,,,,
[I1802],,Elfleda,,,,,female,,,,,,,,,,,,,
[I1805],,Elfleda,,,,,female,,,,,,,,,,,,,
[I1542],,Elfreda (Elfgiva),,,,,female,,,,,,,,,,,,,
[I1780],,Elfrida,,,,,female,,,,,,,1000,,,,,,
[I1987],,Elfrida,,,,,female,,,,,,,,,,,,,
[I1983],,Elfwine,,,,,male,,,,,,,937,,,,,,
[I1760],,Elgiva,,,,,female,,,,,,,,,,,,,
[I1789],,Elgiva,,,,,female,,,,,,,,,,,,,
[I1810],,Elgiva,,,,,female,,,,,,,,,,,,,
[I0641],,Elisabeth Amalia,,,,,female,,,,,,,,,,,,,
[I0273],,Elisabeth of_Anhalt,,,,,female,1857,,,,,,1933,,,,,,
[I0685],,Elisabeth of_Austria,,,,,female,,,,,,,,,,,,,
[I2615],,Elisabeth of_Austria,,,,,female,1554,,,,,,1592,,,,,,
[I1119],,Elisabeth of_Bavaria,,,,,female,1876-07-25,[P0393],,,,,1965-11-23,[P0237],,,[P0234],,
[I1112],,Elisabeth of_Wied,,,,,female,1843-12-29,[P0390],,,,,1916-03-03,[P0391],,,,,
[I0995],,Elizabeth,,,,,female,,,,,,,1503,,,,,,
[I1196],,Elizabeth,,,,,female,1837,,,,,,1898,,,,,,
[I1274],,Elizabeth,,,,,female,1282-08-00,[P0464],,,,,1316-05-05,,,,,,
[I1475],,Elizabeth,,,,,female,,,,,,,,,,,,,
[I1502],,Elizabeth,,,,,female,1364,,,,,,1426,,,,,,
[I1674],,Elizabeth,,,,,female,1935,,,,,,,,,,,,
[I2154],,Elizabeth,,,,,female,1963,,,,,,,,,,,,
[I2506],,Elizabeth,,,,,female,,,,,,,,,,,,,
[I2679],,Elizabeth,,,,,female,1865,,,,,,1929,,,,,,
[I2967],,Elizabeth,,,,,female,,,,,,,,,,,,,
[I0084],,"Elizabeth ""Ella""",,,,,female,1864,,,,,,1918-07-17,[P0075],,,,,
[I0354],,Elizabeth Alexandra of_Saxe-,,,,,female,1830,,,,,,1911,,,,,,
[I2917],,Elizabeth Charlotte,,,,,female,1676,,,,,,,,,,,,
[I2916],,Elizabeth Charlotte of_Bavaria,,,,,female,1652,,,,,,1722,,,,,,
[I1605],,Elizabeth Christine,,,,,female,1715,,,,,,1797,,,,,,
[I0554],,Elizabeth Christine of_Brunswick,,,,,female,1746-11-08,[P0223],,,,,1840-02-18,[P0224],,,,,
[I1173],,Elizabeth Henrietta of_Hesse-Cassel,,,,,female,1661-11-08,[P0148],,,,,1683-06-27,[P0409],,,,,
[I1418],,Elizabeth de_Burgh,,,,,female,,,,,,,1363-12-10,[P0544],,,,,
[I1450],,Elizabeth de_Burgh,,,,,female,,,,,,,1327,,,,,,
[I0896],,Elizabeth of_France,,,,,female,1602,,,,,,1644,,,,,,
[I2134],,Elizabeth of_France,,,,,female,1545,,,,,,1568,,,,,,
[I2116],,Elizabeth of_Hervorden,,,,,female,,,,,,,1680,,,,,,
[I0358],,Elizabeth of_Prussia,,,,,female,1815,,,,,,1885,,,,,,
[I1723],,Elizabeth of_Tavistock,,,,,female,,,,,,,1768,,,,,,
[I0774],,Elizabeth of_York,,,,,female,1466-02-11,[P0314],,,,,1503-02-11,[P0315],,,[P0316],,
[I1996],,Elsa,,,,,male,,,,,,,,,,,,,
[I2776],,Elsa Bernadotte of_Wisborg,,,,,female,1893,,,,,,,,,,,,
[I2891],,Emanuel,,,,,male,1469,,,,,,1521,,,,,,
[I2900],,Emanuel of_Orleans,,,,,male,1872,,,,,,1931,,,,,,
[I2976],,Emich Karl of_Leiningen,,,,,male,about 1762,,,,,,1814,,,,,,
[I0903],,Emich of_Leiningen,,,,,male,1926,,,,,,,,,,,,
[I0941],,Emily,,,,,female,1976,,,,,,,,,,,,
[I2628],,Emily of_Dornberg,,,,,female,1868,,,,,,1961,,,,,,
[I2571],,Emma of_Bavaria,,,,,female,,,,,,,876,,,,,,
[I0656],,Emma of_Netherlands,,,,,female,1858-08-02,[P0033],,,,,1934-03-20,[P0176],,,,,
[I1532],,Emma of_Normandy,,,,,female,,,,,,,1052,,,,,,
[I2646],,Emmanuela de_Dampierre,,,,,female,1913,,,,,,,,,,,,
[I2586],,Engeberge,,,,,female,,,,,,,,,,,,,
[I1415],,Enguerrand_VII de_Courcy,,,,,male,,,,,,,1396,,,,,,
[I2222],,Enna,,,,,male,,,,,,,1126,,,,,,
[I2264],,Eocha,,,,,male,,,,,,,,,,,,,
[I2056],,Eoppa,,,,,male,,,,,,,,,,,,,
[I1600],,Eric_X of_Pomerania,,,,,male,,,,,,,,,,,,,
[I0446],,Erik of_Vastmanland,,,,,male,1889,,,,,,1918,,,,,,
[I2232],,Ermengarde,,,,,female,,,,,,,1234,,,,,,
[I2575],,Ermentrude,,,,,female,,,,,,,869,,,,,,
[I1691],,Ernest,,,,,male,1822,,,,,,1822,,,,,,
[I0770],,Ernest Augustus,,,,,male,,,,,,,,,,,,,
[I0758],,Ernest Augustus of_Brunswick,,,,,male,1629,,,,,,1698,,,,,,
[I2897],,Ernest Frederick of_Saxe-Coburg,,,,,male,1724,,,,,,1800,,,,,,
[I2851],,Ernest Frederick_III of_Saxe-,,,,,male,1727,,,,,,1780,,,,,,
[I0083],,Ernest Louis of_Hesse,,,,,male,1868,,,,,,1937,,,,,,
[I2150],,Ernest of_Hohenlohe- Langenburg,,,,,male,,,,,,,,,,,,,
[I0139],,Ernest_I of_Saxe-Coburg- Saalfeld,,,,,male,1784,,,,,,1844-01-29,,,,,,
[I1737],,Ernest_II of_Saxe-Coburg- Saalfeld,,,,,male,1818,,,,,,1893,,,,,,
[I0668],,Ernst von_Seherr-Thoss,,,,,male,,,,,,,,,,,,,
[I1969],,Ethelbald,,,,,male,,,,,,,860,,,,,,
[I2045],,Ethelbald,,,,,male,,,,,,,,,,,,,
[I1971],,Ethelbert,,,,,male,,,,,,,866,,,,,,
[I2049],,Ethelburh,,,,,female,,,,,,,,,,,,,
[I1781],,Ethelfleda,,,,,female,,,,,,,,,,,,,
[I1985],,Ethelfleda,,,,,female,,,,,,,918,,,,,,
[I1790],,Ethelfleda of_Domerham,,,,,female,,,,,,,,,,,,,
[I1986],,Ethelgiva of_Shaftesbury,,,,,female,,,,,,,,,,,,,
[I1978],,Ethelhelm,,,,,male,,,,,,,,,,,,,
[I1807],,Ethelhilda,,,,,female,,,,,,,,,,,,,
[I1989],,Ethelred of_Mercia,,,,,male,,,,,,,910,,,,,,
[I1972],,Ethelred_I,,,,,male,,,,,,,871,,,,,,
[I1533],,Ethelred_II the_Unready,,,,,male,about 968,,,,,,1016,,,,[P0553],,
[I2238],,Ethelreda,,,,,female,,,,,,,,,,,,,
[I1977],,Ethelswith,,,,,female,,,,,,,888,,,,,,
[I1979],,Ethelwald,,,,,male,,,,,,,,,,,,,
[I1803],,Ethelwerd,,,,,unknown,,,,,,,924,,,,,,
[I1982],,Ethelwerd,,,,,male,,,,,,,922,,,,,,
[I1984],,Ethelwine,,,,,male,,,,,,,937,,,,,,
[I1966],,Ethelwulf,,,,,male,,,,,,,858,,,,,,
[I2771],,Eugene,,,,,male,1865,,,,,,1947,,,,,,
[I1464],,Euphemia of_Ross,,,,,female,,,,,,,,,,,,,
[I1400],,Eustace of_Boulongne,,,,,male,1130/1131,,,,,,1153-08-10,[P0533],,,,,
[I1522],,Eustace_III of_Boulogne,,,,,male,,,,,,,,,,,,,
